ltable_item_name,rtable_item_name,label
VECTRINE ERDOSTEINE 300MG (H/20V),Vectrine 300mg (2 Vi x 10 Vien),1
CTKM JEX 60 CHÀO XUÂN - THÁNG 1.2024,Vectrine 300mg (2 Vi x 10 Vien),0
LIVERIL (H/30 VIEN),Vectrine 300mg (2 Vi x 10 Vien),0
4547691239082 - Bao Cao Su Okamoto Vanilla 3's,Vectrine 300mg (2 Vi x 10 Vien),0
BCDR SENSODYNE SENSTIVTYGUM SOFT 1X1,Vectrine 300mg (2 Vi x 10 Vien),0
GYNAPAX,Vectrine 300mg (2 Vi x 10 Vien),0
PRADAXA 110MG CAPS. B/30,Vectrine 300mg (2 Vi x 10 Vien),0
LACTACYD DDVSPN PRO SENSITIVE 150ML,Vectrine 300mg (2 Vi x 10 Vien),0
DUREX GEL MASSAGE ALOE 200ML,Vectrine 300mg (2 Vi x 10 Vien),0
ATUSSIN TAB B/25BLX4,Atussin Tab 50mg(25vix4vien),1
"UTROGESTAN 200MG CAPSULE 1x7'S ,1x8'S",Atussin Tab 50mg(25vix4vien),0
ATUSSIN TAB B/25BLX4,Atussin Tab 50mg(25vix4vien),1
"TPBVSK: Ginkgo Biloba + Magnesium + Vitamin B6  (Hiệu Felix, Viên uống tăng cường tuần hoàn não, hộp 60 viên )",Atussin Tab 50mg(25vix4vien),0
Blackmores Pregnancy & Breast Feeding Gold (60x18),Atussin Tab 50mg(25vix4vien),0
PO000282292,Atussin Tab 50mg(25vix4vien),0
TELFAST BD 60MG TABCO BL30 VN,Atussin Tab 50mg(25vix4vien),0
Chiết khấu,Atussin Tab 50mg(25vix4vien),0
APISOLVAT 10G,Atussin Tab 50mg(25vix4vien),0
Valsacard 160mg (Nước sx: Poland),Valsacard Polfarmex 160mg (4vi x 7vien),1
Gói Thực phẩm dinh dưỡng y học Ensure Gold 850g&lt;br&gt;(Beta Glucan)&lt;br&gt;(01 gói gồm : &lt;br&gt;- 01 Thực phẩm dinh dưỡng y học Ensure Gold 850g&lt;br&gt;(Beta Glucan)&lt;br&gt;- 02 Thực phẩm dinh dưỡng  y học Ensure Gold hương vani ít ngọt 60.6g&lt;br&gt;(Beta Glucan) giá 0 đồng&lt;br&gt;&lt;br&gt;(Hàng khuyến mại không thu tiền)),Valsacard Polfarmex 160mg (4vi x 7vien),0
DIFELENE 50 MG 1x1x10 VIÊN,Valsacard Polfarmex 160mg (4vi x 7vien),0
MINIRIN TAB 0.1MG B/30,Valsacard Polfarmex 160mg (4vi x 7vien),0
BILAXTEN TAB 20MG 10'S,Valsacard Polfarmex 160mg (4vi x 7vien),0
Grandaxin 50mg (Hộp 2 vỉ x 10 viên),Valsacard Polfarmex 160mg (4vi x 7vien),0
(PO000307121),Valsacard Polfarmex 160mg (4vi x 7vien),0
Durex - Bao cao su Naughty Chocolate 3s,Valsacard Polfarmex 160mg (4vi x 7vien),0
CONCOR COR TAB 2.5MG 3X10'S,Concor COR Tab 2.5mg(3vi x 10vien),1
THỰC PHẨM BỔ SUNG: NƯỚC CHANH VITAMIN C CVITT 140ML,Concor COR Tab 2.5mg(3vi x 10vien),0
Kẹo the không đường hương bánh cookie dâu Playmore hũ 22g,Concor COR Tab 2.5mg(3vi x 10vien),0
BVS MOLPED TN S.BAOVE SMCANH 8X8X6 VN,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,1
Kẹo thảo mộc Original hiệu Ricola 17.5g,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,0
ESORAGIM 20,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,0
DEBRIDAT TAB 100MG 30'S,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,0
BVS MOLPED TN M.LANH CANH 8X8X6,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,1
NIZORAL CREAM 15G B/1,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0
MICARDIS 40MG TABLETS B/30,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0
Kumano Sữa rửa mặt Reihaku Hatomugi 170g,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0
Xịt thơm miệng không cồn Dentiplus 25ml,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0
BVS MOLPED TN S.BANDEM CANH 35CM 3X8X6,Molped BVS Thien Nhien Ban Dem Co Canh 35cm 3M,1
Ăn ngon ngủ ngon Đông trùng hạ thảo (PO000287476),Molped BVS Thien Nhien Ban Dem Co Canh 35cm 3M,0
83735 LNM NGOC TRAI 50ML,Molped BVS Thien Nhien Ban Dem Co Canh 35cm 3M,0
KLACID MR 500MG TABLETS 1X5'S,Molped BVS Thien Nhien Ban Dem Co Canh 35cm 3M,0
ACEMUC Kids 200mg 1g_SC30_VN,Acemuc kids 200mg (Hop/30 Goi),1
Nước uống Pororo hương vị sữa,Acemuc kids 200mg (Hop/30 Goi),0
DAFLON 1000MG TAB 3X10'S,Acemuc kids 200mg (Hop/30 Goi),0
SALONPAS JET SPRAY 118ml-HISAMITSU-JAPAN_1SA216-1-1T2,Acemuc kids 200mg (Hop/30 Goi),0
BCDR Sensodyne Multi Care Soft,Acemuc kids 200mg (Hop/30 Goi),0
"Ebysta (10 ml gói), Việt Nam, (20gói/hộp)",Acemuc kids 200mg (Hop/30 Goi),0
UPSA C 1GR BOX/ 1 TUBE X 10,Acemuc kids 200mg (Hop/30 Goi),0
Thực phẩm bảo vệ sức khỏe Brauer Baby & Kids Ultra Pure Cod Liver Oil with DHA 90Softgels,Acemuc kids 200mg (Hop/30 Goi),0
MAGNE B6 CORBIERE (FCT) BOX 5BLX10 (SVN),Magne B6 Corbiere Tab (Hop/50 Vien),1
MAGNE B6 CORBIERE (FCT) BOX 5BLX10 (SVN),Magne B6 Corbiere Tab (Hop/50 Vien),1
Urgo Spray lésions buccales,Magne B6 Corbiere Tab (Hop/50 Vien),0
THELIZIN,Magne B6 Corbiere Tab (Hop/50 Vien),0
Bao cao su Pharmacity Easy Fit hộp 3 cái (PO000306174),Magne B6 Corbiere Tab (Hop/50 Vien),0
DAU XANH EAGLE 3ml,Magne B6 Corbiere Tab (Hop/50 Vien),0
KIPEL FILM COATED TABS 10MG;,Magne B6 Corbiere Tab (Hop/50 Vien),0
CEPMOX-CLAV 875mg/125mg VNB H/14,Magne B6 Corbiere Tab (Hop/50 Vien),0
PO000306679,Magne B6 Corbiere Tab (Hop/50 Vien),0
NO-SPA 40mg_BL5X10_VN,No-spa 40mg (5vix10vien),1
CLORPHENIRAMIN,No-spa 40mg (5vix10vien),0
KU Fressi Care All 100 - 1809,No-spa 40mg (5vix10vien),0
(PO000304979),No-spa 40mg (5vix10vien),0
"Găng tay cao su y tế chưa tiệt trùng, không bột, 6.0g, size M",No-spa 40mg (5vix10vien),0
Glucofast 500mg,No-spa 40mg (5vix10vien),0
TEGRETOL CR 200MG 5X10,No-spa 40mg (5vix10vien),0
NO-SPA FORTE 80mg B/ 2bls x 10,No-Spa Forte 80mg (2Vi x 10Vien),1
Lazibet MR 60 H/30,No-Spa Forte 80mg (2Vi x 10Vien),0
PO000306074,No-Spa Forte 80mg (2Vi x 10Vien),0
STADNEX 40 CAP (H/28v)-VN,No-Spa Forte 80mg (2Vi x 10Vien),0
Moloxcin 400 v/10 h/10 t/1320,No-Spa Forte 80mg (2Vi x 10Vien),0
ACEMUC 200 CAP_BL3X10_VN,Acemuc 200mg (Hop/30 Vien),1
ACEMUC 200 CAP_BL3X10_VN,Acemuc 200mg (Hop/30 Vien),1
Warfarin 5,Acemuc 200mg (Hop/30 Vien),0
BVS Diana SENSI Siêu Mỏng Cánh 08 - 2202,Acemuc 200mg (Hop/30 Vien),0
TELFAST KIDS 30MG TABCO BL10 M24,Telfast Kids 30mg (1vi x 10vien),1
(C41) CALCI-D (HCN/1túi/10vỉ/10VNBP),Telfast Kids 30mg (1vi x 10vien),0
NIZORAL CREAM 5G B/1,Telfast Kids 30mg (1vi x 10vien),0
VIAGRA TABS 50MG 4'S,Telfast Kids 30mg (1vi x 10vien),0
Lazibet MR 60 H/30,Telfast Kids 30mg (1vi x 10vien),0
"UTROGESTAN 200MG CAPSULE 1x7'S ,1x8'S",Telfast Kids 30mg (1vi x 10vien),0
NovoMix 30 FlexPen B/5 (France),Novomix 30 FlexPen 100IU/ml x 3ml (R)(5cay) Inj,1
Tăm Bông VST Baby  hộp 200 que nhựa,Novomix 30 FlexPen 100IU/ml x 3ml (R)(5cay) Inj,0
EPEGIS,Novomix 30 FlexPen 100IU/ml x 3ml (R)(5cay) Inj,0
CIPROBAY TAB 500MG 10'S,Novomix 30 FlexPen 100IU/ml x 3ml (R)(5cay) Inj,0
An trĩ vương,Novomix 30 FlexPen 100IU/ml x 3ml (R)(5cay) Inj,0
GLUCOVANCE 500MG/2.5MG TAB 30'S,Novomix 30 FlexPen 100IU/ml x 3ml (R)(5cay) Inj,0
MYDOCALM 150MG T/216H/3vỉ/10Viên,Mixtard 30 Flexpen 100IU/ml (H/5 But) (R) Inj,0
XIGDUO XR 10MG/1000MG TAB 4X7'S,Mixtard 30 Flexpen 100IU/ml (H/5 But) (R) Inj,0
HYZAAR 50MG/12.5MG TAB B/28 (UKC),Mixtard 30 Flexpen 100IU/ml (H/5 But) (R) Inj,0
ZYRTEC TAB 10MG 10'S,Mixtard 30 Flexpen 100IU/ml (H/5 But) (R) Inj,0
Kem đánh răng DL Ngọc Châu trắng sáng 100g,Mixtard 30 Flexpen 100IU/ml (H/5 But) (R) Inj,0
Ospay neo 15ml                                                                   lô sx: 2307; hạn sử dụng: 16/12/2025,Ospay Neo 15ml Haipharco (1lo),1
Bàn chải OralB trà đen vỉ 1X6X16,Ospay Neo 15ml Haipharco (1lo),0
EPEGIS,Ospay Neo 15ml Haipharco (1lo),0
ATORPA- E 40/10 (H/30V),Ospay Neo 15ml Haipharco (1lo),0
KONIMAG SUSPENSION 7ML B/30,Ospay Neo 15ml Haipharco (1lo),0
CEELIN SYRUP BT/120ML,Ospay Neo 15ml Haipharco (1lo),0
Magnesi -B6 v/10 h/100 t/7200,Ospay Neo 15ml Haipharco (1lo),0
"Ebysta (10 ml gói), Việt Nam, (20gói/hộp)",Ospay Neo 15ml Haipharco (1lo),0
MOBIC 15MG TAB 20'S (GREECE),Ospay Neo 15ml Haipharco (1lo),0
MEPRAZ 20MG BL7x4CAP_NEW,Ospay Neo 15ml Haipharco (1lo),0
Risdontab 2 (5vỉ x 10v),Ospay Neo 15ml Haipharco (1lo),0
Nước uống Pororo hương vị sữa,Dophazolin 15ml (H/chai),0
Bột sủi thanh nhiệt Sensa Cools fizz-Hương Chanh 7g x 6 gói,Dophazolin 15ml (H/chai),0
Bao cao su Pharmacity Ultra Invisible Strawberry hộp 3 cái (PO000306174),Dophazolin 15ml (H/chai),0
PO000311638,Dophazolin 15ml (H/chai),0
Theo PO000280694,Dophazolin 15ml (H/chai),0
MEDI-LEVOSULPIRID     H/30v - VN,Medi-Levosulpirid 25mg (3Vi x 10Vien),1
DUPHASTON 10MG TABLETS 1X20'S,Medi-Levosulpirid 25mg (3Vi x 10Vien),0
AVARINO;,Medi-Levosulpirid 25mg (3Vi x 10Vien),0
PANADOL EXTRA 180'S,Medi-Levosulpirid 25mg (3Vi x 10Vien),0
TRIPLIXAM 5MG/1.25MG/5MG TAB 30'S,Medi-Levosulpirid 25mg (3Vi x 10Vien),0
DUNG DICH NHO MAT (V.ROHTO MINERAL TEAR) 13ML,Medi-Levosulpirid 25mg (3Vi x 10Vien),0
PO000308950,Medi-Levosulpirid 25mg (3Vi x 10Vien),0
Mitux gói/1.5gr h/24 t/3456,Mitux 200mg 1.5g (24 Goi/Hop),1
CP61029659 - 114442-NSM OPWHITECHARC FR.MINT500ML B.DOIX12BO,Mitux 200mg 1.5g (24 Goi/Hop),0
"Sanlein 0,1 5ML B/1",Mitux 200mg 1.5g (24 Goi/Hop),0
PO000307238,Mitux 200mg 1.5g (24 Goi/Hop),0
( Hộp 50 cái ),Mitux 200mg 1.5g (24 Goi/Hop),0
Dầu Gội Chống Gàu (Selsun Anti-Dandruff Shampoo With Selenium Sulfide) 50 Ml - 8935006533370 (BARCODE),Mitux 200mg 1.5g (24 Goi/Hop),0
DAYGRA 50 TABLETS 4'S,Mitux 200mg 1.5g (24 Goi/Hop),0
Thực phẩm bảo vệ sức khỏe siro + C Vitamin Herbal Syrup (Gói 5ml),PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),1
Thực phẩm bảo vệ sức khỏe siro + C Vitamin Herbal Syrup (Gói 5ml),PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),1
320979-70558-Mặt Nạ Tóc Cao Cấp Phục Hồi Hư Tổn 180G(TBK PREMIUM EX REPAIR MASK 180G),PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),0
THỰC PHẨM BỔ SUNG: NƯỚC CAM VITAMIN C CVITT 140ML - Hàng khuyến mãi không thu tiền,PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),0
Dottorprimo Scargel Plus (Số lô: 00130513 HSD: 2026-02-28),PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),0
Thực phẩm bảo vệ sức khỏe siro + C Vitamin Herbal Syrup (Gói 5ml),PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),1
PORORO Kẹo multi vitamin vị đào 12g,PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),0
Colchicine Capel 1mg (H/1 vỉ x 20 viên),PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),0
TRAJENTA DUO. FICTA/ 14/2.5+850MG BTL,PMC Herbal Cough Syrup VitC 5ml (Hop/20 Goi),0
Kinohimitsu Stem Cell Drink (16 Chai),Kinohimitsu Stem Cell  Te Bao Goc  50ml (Hop 16 Chai),1
YAZ TABS 28'S,Kinohimitsu Stem Cell  Te Bao Goc  50ml (Hop 16 Chai),0
NOOAPI 800,Kinohimitsu Stem Cell  Te Bao Goc  50ml (Hop 16 Chai),0
B COMPLEX C,Kinohimitsu Stem Cell  Te Bao Goc  50ml (Hop 16 Chai),0
Quần PP Travel-Mate XL Nữ;5cái+1 cái cùng loại,Kinohimitsu Stem Cell  Te Bao Goc  50ml (Hop 16 Chai),0
Omeprazol DHG v/10 h/30 t/3600,Kinohimitsu Stem Cell  Te Bao Goc  50ml (Hop 16 Chai),0
Cystine B6 Bailleul (H/1 vỉ x 20 viên),Kipel 10mg Chewble ( 4vi x 7vien),0
Miếng dán loại mụn cóc - Corn Removal Plaster (6 miếng/hộp),Kipel 10mg Chewble ( 4vi x 7vien),0
SING-GUM HUBBA BUBBA VI NHO 56g,Kipel 10mg Chewble ( 4vi x 7vien),0
PO000306264,Kipel 10mg Chewble ( 4vi x 7vien),0
Apidra Solostar 300IU/3ml 5's VN,Kipel 10mg Chewble ( 4vi x 7vien),0
"Sữa tắm Tây Thi (Hộp 1 Tube x 200g, HƯƠNG HOA HỒNG)",Kipel 10mg Chewble ( 4vi x 7vien),0
Băng vệ sinh Doctor Care ban đêm ,Kipel 10mg Chewble ( 4vi x 7vien),0
Risdontab 2 (5vỉ x 10v),Kipel 10mg Chewble ( 4vi x 7vien),0
Valsacard 160mg (Nước sx: Poland),Acnotin 20(3vi x 10vien),0
STREPSILS ORANGE VITAMIN C 50X2S (NEW),Acnotin 20(3vi x 10vien),0
Dung dịch tạo bọt ngăn ngừa mụn (Acnes Foaming Wash) 150 ml - 8935006530751 (BARCODE),Acnotin 20(3vi x 10vien),0
Kẹo thảo mộc Ricola tự nhiên Original không đường 40 g,Acnotin 20(3vi x 10vien),0
EUGICA FORT V/10 H/100 T/8100;,Eugica Fort (10 Vi x 10 vien),1
EUGICA FORT V/10 H/100 T/8100;,Eugica Fort (10 Vi x 10 vien),1
EUGICA FORT V/10 H/100 T/8100;,Eugica Fort (10 Vi x 10 vien),1
Cystine B6 Bailleul (H/1 vỉ x 20 viên),Eugica Fort (10 Vi x 10 vien),0
"Briozcal; Số lô: 103136 ; HD: 17/02/2025, PO000278526",Eugica Fort (10 Vi x 10 vien),0
LOSTAD T50 (H/30v),Invel (2vi x 7vien),0
Kem rửa mặt tác động sâu (Oxy Deep Wash) 100g - 8935006531956 (BARCODE),Invel (2vi x 7vien),0
BIO-OIL SKINCARE OIL;,Invel (2vi x 7vien),0
SALONPAS PAIN RELIEF PATCH   H/3mieng   Loc/10H-HISAMITSU-VIETNAM_1SA021-1-1T2,Invel (2vi x 7vien),0
SALONPAS 20  H/10h/2bao/10mieng  T/60H-HISAMITSU-VIETNAM_1SA025-1-1T2,Eugica xanh (10 Vi x 10 vien),0
Lô: PHA01092301   HD: 08/2028,Eugica xanh (10 Vi x 10 vien),0
PO000307832,Eugica xanh (10 Vi x 10 vien),0
TINH DAU KHUYNH DIEP 20ml,Eugica xanh (10 Vi x 10 vien),0
LKM BOSS INTENSE 48H 50ML x 24,Eugica xanh (10 Vi x 10 vien),0
CEELIN SYRUP BT/60ML,Eugica xanh (10 Vi x 10 vien),0
